Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки
Java. Полное руководство,Шилдт Герберт,,3 227₽,7 170₽
JavaScript для начинающих,МакГрат Майк,Бомбора:Мировой компьютерный бестселлер (обложка),965₽,1 322₽
Интерактивные дашборды и приложения с Plotly и Dash. Используем полноценный веб-фреймворк в Python,Дабасс Элиас,,1 807₽,4 016₽
Kotlin. Программирование для профессионалов,Скин,Питер:Для профессионалов,2 859₽,3 665₽
Тестирование JavaScript,Коста Лукас да,Питер:Библиотека программиста,2 547₽,3 265₽
Программируем на Java,Лой,Питер:Бестселлеры O`Reilly,2 836₽,3 636₽
Введение в программную инженерию. Учебник,Антипов,,1 814₽,4 032₽
Asyncio и конкурентное программирование на Python,Фаулер Мэттью,,2 364₽,5 253₽
Создай свой собственный язык программирования. Руководство программиста по разработке компиляторов,Джеффери Клинтон Л.,,2 155₽,4 788₽
Основы теории интеллектуального управления энергосберегающими режимами. Учебное пособие,Поляков,,3 168₽,7 040₽
Система контроля версий. Основы командной разработки. Учебное пособие,Васильева,Лань:Компьютеры и программное обеспечение,3 168₽,7 040₽
Разработка программного тренажера в среде многоагентного моделирования NetLogo. Учебное пособие,Исхаков Алмаз Раилевич,Лань:Компьютеры и программное обеспечение,2 489₽,5 532₽
Эффективное тестирование программного обеспечения,Аниче Маурисио,,2 503₽,5 563₽
Глубокое обучение на Python,Шолле Франсуа,Питер:Библиотека программиста,2 823₽,3 619₽
Пять строк кода. Роберт Мартин рекомендует,Клаусен Кристиан,Питер:Библиотека программиста,1 701₽,2 181₽
Python. Исчерпывающее руководство,Бизли Дэвид,Питер:Для профессионалов,2 240₽,2 872₽
Знакомство с Python,Бейдер,Питер:Библиотека программиста,2 746₽,
Грокаем стриминг,Фишер,Питер:Библиотека программиста,1 702₽,2 182₽
Высокопроизводительные Python-приложения. Практическое руководство по эффективному программированию,Горелик,Бомбора:Мировой компьютерный бестселлер (обложка),1 680₽,2 302₽
"JavaScript. Картинки, галереи, слайдеры. Учебное пособие для вузов",Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,2 263₽,5 029₽
"JavaScript. Картинки, галереи, слайдеры. Учебное пособие для СПО",Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,2 263₽,5 029₽
Entity Framework Core в действии,Смит Джон П.,,2 781₽,6 179₽
API в разработке приложений Autodesk Inventor. Практическое руководство,Дюймовский Пайни,,1 671₽,3 713₽
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",Никсон Робин,Питер:Бестселлеры O`Reilly,2 229₽,2 786₽
Кибердзюцу. Кибербезопасность для современных ниндзя,Маккарти Бен,Питер:Библиотека программиста,1 845₽,2 365₽
Black Hat Go. Программирование для хакеров и пентестеров,Коттманн,Питер:Библиотека программиста,2 511₽,3 219₽
Алгоритмы неформально. Инструкция для начинающих питонистов,Брэдфорд Такфилд,Питер:Библиотека программиста,1 417₽,1 817₽
Компьютерные системы. Архитектура и программирование,Брайант,,3 365₽,7 478₽
Социальная инженерия и этичный хакинг на практике,Грей Джо,,1 391₽,3 091₽
Spring быстро,Спилкэ Лауренциу,,2 836₽,3 636₽
Kali Linux. Библия пентестера,Хаваджа Гас,Питер:Для профессионалов,4 241₽,5 437₽
Теория автоматического управления в примерах и задачах с решениями в MATLAB. Учебное пособие,Гайдук,Лань:Учебники для вузов. Специальная литература,2 683₽,5 963₽
Системы искусственного интеллекта. Моделирование нейронных сетей в системе MATLAB. Лабораторный пр.,Романов,Лань:Компьютеры и программное обеспечение,839₽,1 865₽
Основы программирования. Учебник,Шеина Татьяна Юрьевна,Лань:Компьютеры и программное обеспечение,1 472₽,3 270₽
Интернет вещей для начинающих. Визуальное программирование микроконтроллеров семейства ESP8266,Шамин Алексей Алексеевич,,615₽,1 366₽
Моделирование систем управления. Учебник для вузов,Семенов,Лань:Компьютеры и программное обеспечение,2 714₽,6 031₽
Исследование операций. Том 2. Задачи транспортного типа. Учебник для вузов,Трушков Александр Сергеевич,Лань:Компьютеры и программное обеспечение,2 263₽,5 029₽
"Python для сетевых инженеров. Автоматизация сети, программирование и DevOps",Чоу Эрик,Питер:Для профессионалов,3 815₽,4 891₽
Kafka в действии,Скотт,,2 085₽,4 634₽
Python. К вершинам мастерства. Лаконичное и эффективное программирование,Лусиану Рамальо,,3 365₽,7 478₽
Объяснимые модели искусственного интеллекта на Python. Модель искусственного интеллекта,Мишра Прадипта,,1 807₽,4 016₽
Проектирование гибких программ,Хансон,,2 085₽,4 634₽
