Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки
Создание облачных и мобильных приложений на языке F#,Мол Дэниел,ДМК-Пресс:Функциональное программирование,555₽,1 234₽
"Проектирование на ПЛИС. Архитектура, средства и методы. Курс молодого бойца",Максфилд Клайв,ДМК-Пресс:Программируемые системы,1 391₽,3 091₽
Программирование микроконтроллеров ATMEL на языке C,Прокопенко Вадим Сергеевич,,634₽,1 408₽
Семь моделей конкуренции и параллелизма за семь недель,Батчер Пол,,1 251₽,2 781₽
Адаптивные и инвариантные алгоритмы обнаружения объектов на изображениях и их моделирование в Matla,Волков Владимир Юрьевич,,900₽,2 001₽
Дневник охотника за ошибками. Путешествие через джунгли проблем безопасности программного обеспеч.,Клейн Тобиас,,1 112₽,2 471₽
Введение в UML от создателей языка,Рамбо,ДМК-Пресс:Классика программирования,1 251₽,2 781₽
Silverlight 4. Создание насыщенных Web-приложений,Байдачный Сергей Сергеевич,Солон-пресс:Библиотека профессионала,368₽,817₽
EJB 3 в действии,Панда,ДМК-Пресс:Программирование в действии,1 391₽,3 091₽
"Обработка неструктурированных текстов. Поиск, организация и манипулирование",Ингерсолл,ДМК-Пресс:Программирование в действии,1 321₽,2 935₽
Жемчужины проектирования алгоритмов. Функциональный подход. С примерами на языке Haskell,Бёрд Ричард,,1 181₽,2 625₽
Практика программирования на языке Паскаль. Задачи и решения,Медведик Владимир Иванович,,1 391₽,3 091₽
Методы обработки и распознавания изображений лиц в задачах биометрии,Кухарев,,1 257₽,
Введение в теорию языков программирования,Довек,,555₽,1 234₽
Spring в действии,Уоллс Крейг,ДМК-Пресс:Программирование в действии,1 738₽,3 862₽
Программирование на языке OCaml,Мински,ДМК-Пресс:Функциональное программирование,2 224₽,4 943₽
Платформа Windows Azure,Редкар,,1 112₽,2 471₽
"За пределами ""Linux с нуля"". Версия 7.4. Том 2",,,1 529₽,3 397₽
.NET Сетевое программирование,Кумар,,871₽,1 936₽
Моделирование электротехнических устройств в MATLAB. SimPowerSystems и Simulink,Черных Илья Викторович,ДМК-Пресс:Проектирование,555₽,1 234₽
Java. Эффективное программирование,Блох Джошуа,,1 287₽,2 860₽
Разработка веб-приложений с использованием AngularJS,Козловский,,903₽,2 006₽
"Принципы построения, применения и проектирования компьютерной платформы U-SYS",Росляков,Солон-пресс:Библиотека студента,222₽,493₽
Разработка приложений Java EE 6 в NetBeans 7,Хеффельфингер Дэвид,,834₽,1 853₽
Курс практического программирования в Delphi. Объектно – ориентированное программирование. Практикум,Санников Е. В.,Солон-пресс:Элективный курс. Профильное обучение,581₽,1 290₽
C++ AMP. Построение массивно параллельных программ с помощью Microsoft Visual C++,Грегори,,972₽,2 161₽
Оптимизация производительности приложений для iOS. Для профессионалов,Во Ханг,,637₽,1 416₽
Структуры данных и алгоритмы в Java. Классика Computers Science,Лафоре Роберт,Питер:Классика computer science,2 830₽,3 628₽
Звуковой дизайн в видеоиграх. Технология игрового аудио для непрограммистов,Деникин Антон Анатольевич,,1 529₽,3 397₽
Создание web-приложений в Silverlight,Буньон Лоран,,519₽,1 153₽
С++ для начинающих,Шилдт Герберт,Эком:Шаг за шагом,1 067₽,2 371₽
Профессиональное программирование приложений для iPhone и iPad,Баклин Джин,Эксмо:Мировой компьютерный бестселлер,1 010₽,1 384₽
PHP. Создание динамических страниц,Пауэрс Дэвид,Рид Групп:Веб-технологии,1 135₽,1 555₽
Изучаем Java,Сьерра,Эксмо:Мировой компьютерный бестселлер,1 680₽,2 302₽
Macromedia Authorware 6.0. Разработка мультимедийных учебных курсов,Гультяев Алексей Константинович,,186₽,414₽
Руководство разработчика по Microsoft Enterprise Library,Хоумер,,467₽,1 038₽
Groovy и Grails. Практические советы,Абдул-Джавад Башар,,2 317₽,5 149₽
Микрокомпьютерные системы управления. Первое знакомство,Суэмацу Есикадзу,,1 251₽,2 781₽
Silverlight 2. Технология создания интернет-приложений,Буньон Лоран,,417₽,927₽
